"cell_chembl_id","cell_description","cell_id","cell_name","cell_source_organism","cell_source_tax_id","cell_source_tissue","cellosaurus_id","cl_lincs_id","clo_id","efo_id"
"CHEMBL3308430","epithelial cell line.","815","epithelial cell line.","","","","","","",""
"CHEMBL3307787","Fibrosarcoma cell line","817","Fibrosarcoma cell line","","","","","","",""
"CHEMBL3307789","GHOST CXCR4 cell line","819","GHOST CXCR4","","","","CVCL_S492","","",""
"CHEMBL3307790","Granta cell line","820","Granta","","","","","","",""
"CHEMBL3307791","NCI-H596","821","NCI-H596","","","","CVCL_1571","","CLO_0008098",""
"CHEMBL3307792","HNO199 cell lines","822","HNO199 cell lines","","","","CVCL_D213","","",""
"CHEMBL3308431","Human colon cancer cell line","824","Human colon cancer cell line","","","","","","",""
"CHEMBL3307793","Human hepatoma cell line","825","Human hepatoma cell line","","","","","","",""
"CHEMBL3307794","KG-1","826","KG-1","","","","CVCL_0374","","CLO_0007094","EFO_0002218"
"CHEMBL3307795","KU-2 cell line","827","KU-2 cell line","","","","CVCL_D267","","",""
"CHEMBL3307796","QG-56","828","QG-56","","","","CVCL_6943","","","EFO_0002848"
"CHEMBL3307797","lymphocytoid cell lines","829","lymphocytoid cell lines","","","","","","",""
"CHEMBL3307798","M4Beu cell line","830","M4Beu cell line","","","","CVCL_8337","","",""
"CHEMBL3307799","OVXF1353 cell line","831","OVXF1353 cell line","","","","CVCL_D167","","",""
"CHEMBL3307800","1-87 tumor cell line","832","1-87 tumor cell line","","","","CVCL_D231","","",""
"CHEMBL3307801","3EM 37 cell line","833","3EM 37","","","","","","",""
"CHEMBL3307802","Small cell lung cancer cell line","836","Small cell lung cancer cell line","","","","","","",""
"CHEMBL3307803","Abelson 8.1","837","Abelson 8.1","","","","CVCL_3487","","CLO_0001642",""
"CHEMBL3308432","KATO III stomach cancer cell lines","838","KATO III stomach cancer cell lines","","","","CVCL_0371","","CLO_0007073","EFO_0002217"
"CHEMBL3307804","KYSE-520 cell line","839","KYSE-520 cell line","","","","CVCL_1355","","CLO_0007136",""
"CHEMBL3307805","MAXF401 cell line","840","MAXF401 cell line","","","","CVCL_D131","","",""
"CHEMBL3307806","Melanoma tumor cell line","841","Melanoma tumor cell line","","","","","","",""
"CHEMBL3307807","GLC4 cell line","842","GLC4 cell line","","","","CVCL_0279","","",""
"CHEMBL3307808","PAC-2 cell line","843","PAC-2 cell line","","","","CVCL_5853","","","EFO_0001224"
"CHEMBL3307809","3677 melanoma cell line","844","3677 melanoma cell line","","","","CVCL_H603","","",""
"CHEMBL3307811","3LL cell line","847","3LL cell line","","","","CVCL_5653","","",""
"CHEMBL3307812","6C3HED lymphosarcoma cell line","850","6C3HED","","","","","","",""
"CHEMBL3307813","833K cell line","854","833K","","","","CVCL_2292","","",""
"CHEMBL3308355","ARIP cell line","858","ARIP cell line","","","","CVCL_3488","","CLO_0001746",""
"CHEMBL3307814","BC cell line","859","BC","","","","","","",""
"CHEMBL3307815","BG-1 cell line","860","BG-1 cell line","","","","CVCL_6570","","",""
"CHEMBL3308433","B-lymphoblastic leukemic cell line","861","B-lymphoblastic leukemic cell line","","","","","","",""
"CHEMBL3307816","MCF-A","862","MCF-A","","","","","","",""
"CHEMBL3307817","C2G cell line","863","C2G cell line","","","","CVCL_H595","","",""
"CHEMBL3307819","Human macrophage cell line","868","Human macrophage cell line","","","","","","",""
"CHEMBL3307820","Human melanoma cell line","869","Human melanoma cell line","","","","","","",""
"CHEMBL3307821","Human neoplasticcell line","870","Human neoplasticcell line","","","","","","",""
"CHEMBL3307822","Human neuronal cell line","871","Human neuronal cell line","","","","","","",""
"CHEMBL3308434","Human ovarian cancer cell line","872","Human ovarian cancer cell line","","","","","","",""
"CHEMBL3307823","Human ovarian cancer tumor cell line","873","Human ovarian cancer tumor cell line","","","","","","",""
